"","FIPS","impact","obama2008","romney2012","storm"
"1","01001",0,0.2579839051,0.73,0
"2","01003",0,0.2384658965,0.77,0
"3","01005",0,0.4898750539,0.48,0
"4","01007",0,0.2660390516,0.73,0
"5","01009",0,0.1455402946,0.86,0
"6","01011",0,0.7409259259,0.24,0
"7","01013",0,0.431242897,0.54,0
"8","01015",0,0.3321870422,0.65,0
"9","01017",0,0.4546490581,0.52,0
"10","01019",0,0.2368393943,0.77,0
"11","01021",0,0.2068031816,0.8,0
"12","01023",0,0.4610406091,0.52,0
"13","01025",0,0.4404264837,0.54,0
"14","01027",0,0.2559833507,0.72,0
"15","01029",0,0.1802721088,0.84,0
"16","01031",0,0.2522522523,0.74,0
"17","01033",0,0.3922504449,0.6,0
"18","01035",0,0.4933468325,0.49,0
"19","01037",0,0.4085343896,0.58,0
"20","01039",0,0.20549597,0.79,0
"21","01041",0,0.3085004776,0.67,0
"22","01043",0,0.1665339325,0.84,0
"23","01045",0,0.2726801183,0.71,0
"24","01047",0,0.6708641738,0.3,0
"25","01049",0,0.2367275163,0.77,0
"26","01051",0,0.2420729029,0.74,0
"27","01053",0,0.353745216,0.62,0
"28","01055",0,0.3023845308,0.68,0
"29","01057",0,0.2502832683,0.76,0
"30","01059",0,0.2972579263,0.7,0
"31","01061",0,0.1828442438,0.81,0
"32","01063",0,0.8315073668,0.15,0
"33","01065",0,0.6067155067,0.37,0
"34","01067",0,0.3482007686,0.64,0
"35","01069",0,0.2930404691,0.7,0
"36","01071",0,0.3065036345,0.7,0
"37","01073",0,0.5226744662,0.47,0
"38","01075",0,0.2281272085,0.76,0
"39","01077",0,0.3508429926,0.65,0
"40","01079",0,0.3529210562,0.63,0
"41","01081",0,0.3948290488,0.59,0
"42","01083",0,0.2847581199,0.71,0
"43","01085",0,0.7490374037,0.23,0
"44","01087",0,0.8692930781,0.13,0
"45","01089",0,0.4202881436,0.59,0
"46","01091",0,0.5168353105,0.46,0
"47","01093",0,0.2109152928,0.8,0
"48","01095",0,0.2125900805,0.79,0
"49","01097",0,0.4531198031,0.54,0
"50","01099",0,0.4470452118,0.54,0
"51","01101",0,0.5939056633,0.38,0
"52","01103",0,0.2756498084,0.72,0
"53","01105",0,0.7228305279,0.25,0
"54","01107",0,0.4566191852,0.53,0
